 11  2 11 12  2 11 12  1 11 12  1 12 12  0 12 12  0 11 12 19 11 12 19 10 12 18 10 12 17 10 12 17  9 12 16  9 13 16  9 13 17  9 13 18  9 13 18 10 14 18 10 14 18  9 14 18  8 13 18  8 13 18  7 13 17  7 13 17  6 13 16  6 13 16  7 14 16  7 14 15  7 14 14  7 14 14  6 15 14  6 15 14  7 15 14  8 16 14  8 16 15  8 16 16  8 15 16  8 14 16  8 13 16  8 12 16  8 11 16  8
  4 16 12  3 16 12  2 16 12  1 16 12  1 16 13  0 16 13  0 15 13  1 15 13  2 15 13  2 16 13  2 17 13  2 18 13  2 19 13  1 19 13  1  0 13  0  0 13  0  0 12  1  0 12  1  1 12  1  1 13  1  1 14  1  2 14  1  2 15  2  2 15  2  2 14  2  2 13  3  2 13  3  2 14  3  1 14  2  1 14  2  1 13  2  0 13  2  0 14  2 19 14  3 19 14  3 19 15  4 19 15  4  0 15  3  0 15  3  0 14
  8 16  1  9 16  1  9 16  0  9 16 19 10 16 19 11 16 19 11 16 18 12 16 18 12 15 18 12 15 19 12 14 19 11 14 19 11 15 19 11 15  0 11 16  0 12 16  0 13 16  0 13 16  1 13 17  1 12 17  1 12 18  1 12 19  1 12  0  1 12  0  2 12  0  3 12  1  3 12  1  2 12  2  2 11  2  2 11  1  2 11  1  3 11  1  4 11  2  4 11  3  4 10  3  4 10  2  4 10  1  4  9  1  4  9  2  4  9  3  4
  6 11  6  6 11  7  6 12  7  5 12  7  5 12  6  4 12  6  4 11  6  4 11  7  4 11  8  4 11  9  3 11  9  3 11  8  3 11  7  3 10  7  3 10  8  2 10  8  2 11  8  1 11  8  1 12  8  0 12  8  0 12  7  0 11  7  0 10  7 19 10  7 19 10  6  0 10  6  0 11  6  1 11  6  1 12  6  1 12  5  1 11  5  0 11  5  0 12  5  0 12  6  0 13  6  0 13  5 19 13  5 18 13  5 18 13  6 18 14  6
 14 11 17 14 10 17 14 10 18 14 11 18 14 12 18 14 12 17 15 12 17 15 12 16 15 12 15 15 13 15 15 13 14 15 14 14 15 14 13 16 14 13 16 14 12 16 14 11 16 15 11 16 15 10 16 15  9 16 14  9 16 13  9 17 13  9 17 12  9 17 12  8 17 11  8 17 10  8 16 10  8 16 11  8 16 11  9 16 11 10 16 10 10 16 10 11 16 11 11 15 11 11 15 10 11 15  9 11 14  9 11 14  9 10 13  9 10 13  9 11
 17 13  2 17 13  1 17 14  1 17 14  0 18 14  0 18 13  0 18 13  1 18 13  2 18 13  3 18 14  3 17 14  3 17 14  2 18 14  2 18 15  2 17 15  2 17 15  3 16 15  3 16 15  4 15 15  4 15 15  5 15 14  5 16 14  5 16 14  4 17 14  4 17 13  4 17 12  4 18 12  4 18 12  3 17 12  3 17 11  3 17 10  3 17 10  2 16 10  2 16 10  3 15 10  3 15  9  3 14  9  3 13  9  3 13  8  3 13  8  4
 19  1 17  0  1 17  0  1 18  0  2 18 19  2 18 19  3 18 18  3 18 18  4 18 19  4 18  0  4 18  0  5 18  0  5 17  0  4 17 19  4 17 19  5 17 19  5 16 19  5 15 19  4 15 18  4 15 18  3 15 18  2 15 18  2 16 17  2 16 16  2 16 16  3 16 16  3 15 16  4 15 16  4 14 15  4 14 15  4 15 15  4 16 15  3 16 14  3 16 14  2 16 14  1 16 15  1 16 15  2 16 15  2 17 15  2 18 16  2 18
  8 17 17  8 17 16  9 17 16  9 18 16 10 18 16 10 18 15 10 17 15 10 17 16 10 16 16 10 15 16 10 14 16 10 14 15 11 14 15 11 14 16 12 14 16 12 14 15 12 13 15 12 13 16 12 12 16 13 12 16 13 11 16 12 11 16 12 11 17 12 12 17 13 12 17 13 12 18 12 12 18 12 13 18 13 13 18 13 13 19 13 13  0 12 13  0 12 13  1 11 13  1 11 14  1 10 14  1 10 13  1  9 13  1  9 12  1  9 12  2
  9  4  0  8  4  0  7  4  0  7  5  0  7  6  0  6  6  0  5  6  0  5  7  0  4  7  0  4  7 19  5  7 19  5  6 19  4  6 19  4  6 18  4  5 18  4  4 18  4  3 18  4  3 19  4  3  0  3  3  0  3  4  0  4  4  0  4  5  0  3  5  0  3  6  0  2  6  0  2  7  0  3  7  0  3  8  0  3  8  1  3  9  1  3  9  2  3  9  3  2  9  3  1  9  3  1 10  3  0 10  3  0 10  2  0 11  2  0 11  3
 10 14  2 11 14  2 12 14  2 13 14  2 13 15  2 14 15  2 14 15  1 14 15  0 13 15  0 13 15  1 13 14  1 13 13  1 13 13  2 13 13  3 13 13  4 13 12  4 14 12  4 14 11  4 14 11  3 14 11  2 14 12  2 14 12  3 15 12  3 15 11  3 15 11  4 15 10  4 15  9  4 15  9  5 15 10  5 16 10  5 16 10  4 16 11  4 16 11  3 16 11  2 16 12  2 15 12  2 15 13  2 15 13  1 15 12  1 16 12  1
 18  2  8 18  2  7 19  2  7 19  3  7 19  3  6  0  3  6  0  3  5 19  3  5 19  3  4 18  3  4 18  3  5 18  4  5 18  5  5 18  5  4 18  5  3 18  6  3 18  7  3 18  7  4 17  7  4 17  6  4 16  6  4 16  5  4 17  5  4 17  5  3 16  5  3 15  5  3 14  5  3 14  6  3 14  6  2 14  7  2 14  8  2 15  8  2 15  9  2 15 10  2 15 11  2 15 11  1 16 11  1 16 11  0 16 12  0 16 13  0
  7 15 16  7 14 16  7 13 16  7 13 15  7 14 15  8 14 15  8 13 15  8 12 15  8 11 15  9 11 15  9 12 15 10 12 15 11 12 15 11 11 15 10 11 15 10 10 15 10 10 16 10  9 16 10  9 17 10  8 17  9  8 17  9  9 17  8  9 17  8  9 18  7  9 18  7  9 17  7 10 17  8 10 17  8 10 16  8 10 15  8 10 14  8 10 13  8  9 13  8  8 13  8  7 13  8  7 14  8  7 15  7  7 15  6  7 15  6  7 14
  6 12  5  7 12  5  7 12  4  8 12  4  8 13  4  8 14  4  9 14  4  9 14  5  9 15  5 10 15  5 11 15  5 12 15  5 12 16  5 12 16  4 13 16  4 14 16  4 14 15  4 13 15  4 13 14  4 14 14  4 14 14  3 14 14  2 14 13  2 14 13  1 14 12  1 14 11  1 14 11  0 14 12  0 13 12  0 13 11  0 13 10  0 14 10  0 15 10  0 15  9  0 15  8  0 15  8 19 14  8 19 14  7 19 15  7 19 15  7 18
 19 11  6 19 11  7 19 12  7 19 12  6 19 12  5 19 12  4 19 13  4 19 14  4  0 14  4  0 15  4  1 15  4  2 15  4  3 15  4  4 15  4  4 15  5  4 14  5  4 13  5  4 13  6  4 14  6  3 14  6  3 14  7  3 13  7  2 13  7  1 13  7  1 13  8  2 13  8  2 12  8  2 12  9  3 12  9  3 13  9  3 13 10  2 13 10  2 13  9  1 13  9  1 14  9  1 14  8  1 15  8  1 16  8  2 16  8  2 16  9
  3 17  7  4 17  7  4 16  7  4 16  8  4 15  8  5 15  8  5 15  9  5 16  9  5 16  8  5 17  8  5 17  7  5 16  7  6 16  7  6 15  7  6 14  7  7 14  7  7 13  7  7 12  7  8 12  7  8 13  7  9 13  7  9 12  7  9 11  7  9 10  7  9 10  8 10 10  8 10 10  7 10  9  7  9  9  7  9  8  7  9  7  7  9  7  8  9  6  8 10  6  8 10  6  9 10  6 10 10  5 10  9  5 10  8  5 10  8  4 10
 11  5 19 11  6 19 10  6 19 10  6 18 10  5 18 11  5 18 12  5 18 12  6 18 12  6 17 12  5 17 12  4 17 12  4 18 13  4 18 14  4 18 14  5 18 14  5 19 13  5 19 12  5 19 12  4 19 12  3 19 11  3 19 11  3  0 10  3  0 10  3  1 10  3  2 10  4  2  9  4  2  9  5  2  8  5  2  7  5  2  7  5  1  7  6  1  6  6  1  5  6  1  5  5  1  4  5  1  3  5  1  3  5  2  3  6  2  3  6  1
 14  3 11 13  3 11 13  3 12 14  3 12 14  4 12 13  4 12 13  5 12 13  5 11 13  6 11 13  7 11 13  7 12 13  7 13 13  7 14 13  7 15 13  7 16 14  7 16 14  6 16 14  6 17 14  5 17 14  5 16 15  5 16 16  5 16 16  6 16 16  7 16 16  8 16 16  8 15 16  8 14 15  8 14 15  7 14 15  7 13 15  6 13 15  6 14 14  6 14 14  6 13 13  6 13 13  6 12 14  6 12 15  6 12 15  7 12 16  7 12
