X  Y  Z
17 14  2
18 14  2
18 15  2
17 15  2
17 15  3
16 15  3
16 15  4
15 15  4
15 15  5
15 14  5
16 14  5
16 14  4
17 14  4
17 13  4
17 12  4
18 12  4
18 12  3
17 12  3
17 11  3
17 10  3
17 10  2
16 10  2
16 10  3
15 10  3
15  9  3
14  9  3
13  9  3
13  8  3
13  8  4



19  1 17
20  1 17
20  1 18
20  2 18
19  2 18
19  3 18
18  3 18
18  4 18
19  4 18
20  4 18
20  5 18
20  5 17
20  4 17
19  4 17
19  5 17
19  5 16
19  5 15
19  4 15
18  4 15
18  3 15
18  2 15
18  2 16
17  2 16
16  2 16
16  3 16
16  3 15
16  4 15
16  4 14
15  4 14
15  4 15
15  4 16
15  3 16
14  3 16
14  2 16
14  1 16
15  1 16
15  2 16
15  2 17
15  2 18
16  2 18



8 17 17
8 17 16
9 17 16
9 18 16
10 18 16
10 18 15
10 17 15
10 17 16
10 16 16
10 15 16
10 14 16
10 14 15
11 14 15
11 14 16
12 14 16
12 14 15
12 13 15
12 13 16
12 12 16
13 12 16
13 11 16
12 11 16
12 11 17
12 12 17
13 12 17
13 12 18
12 12 18
12 13 18
13 13 18
13 13 19
13 13 20
12 13 20
12 13 21
11 13 21
11 14 21
10 14 21
10 13 21
9 13 21
9 12 21
9 12 22



9  4  0
8  4  0
7  4  0
7  5  0
7  6  0
6  6  0
5  6  0
5  7  0
4  7  0
4  7 -1
5  7 -1
5  6 -1
4  6 -1
4  6 -2
4  5 -2
4  4 -2
4  3 -2
4  3 -1
4  3  0
3  3  0
3  4  0
4  4  0
4  5  0
3  5  0
3  6  0
2  6  0
2  7  0
3  7  0
3  8  0
3  8  1
3  9  1
3  9  2
3  9  3
2  9  3
1  9  3
1 10  3
0 10  3
0 10  2
0 11  2
0 11  3



10 14  2
11 14  2
12 14  2
13 14  2
13 15  2
14 15  2
14 15  1
14 15  0
13 15  0
13 15  1
13 14  1
13 13  1
13 13  2
13 13  3
13 13  4
13 12  4
14 12  4
14 11  4
14 11  3
14 11  2
14 12  2
14 12  3
15 12  3
15 11  3
15 11  4
15 10  4
15  9  4
15  9  5
15 10  5
16 10  5
16 10  4
